OWNER,CONSTRAINT_NAME,CONSTRAINT_TYPE,TABLE_NAME,STATUS,VALIDATED,DEFERRABLE,DEFERRED,R_OWNER,R_CONSTRAINT_NAME,DELETE_RULE,BAD,INVALID,GENERATED,SEARCH_CONDITION_VC
SYSTEM,SYS_C003232,C,LOGMNRC_GSII,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""INDTYPE#"" IS NOT NULL"
SYSTEM,LOGMNRC_GTCS_PK,P,LOGMNRC_GTCS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C003171,C,LOGMNRC_GTCS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""LOGMNR_UID"" IS NOT NULL"
SYSTEM,SYS_C003172,C,LOGMNRC_GTCS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""OBJ#"" IS NOT NULL"
SYSTEM,SYS_C003173,C,LOGMNRC_GTCS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""OBJV#"" IS NOT NULL"
SYSTEM,SYS_C003174,C,LOGMNRC_GTCS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""SEGCOL#"" IS NOT NULL"
SYSTEM,SYS_C003175,C,LOGMNRC_GTCS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""INTCOL#"" IS NOT NULL"
SYSTEM,SYS_C003176,C,LOGMNRC_GTCS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""COLNAME"" IS NOT NULL"
SYSTEM,SYS_C003177,C,LOGMNRC_GTCS,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""TYPE#"" IS NOT NULL"
SYSTEM,LOGMNRC_GTLO_PK,P,LOGMNRC_GTLO,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,USER NAME,
SYSTEM,SYS_C003152,C,LOGMNRC_GTLO,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""LOGMNR_UID"" IS NOT NULL"
SYSTEM,SYS_C003153,C,LOGMNRC_GTLO,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""KEYOBJ#"" IS NOT NULL"
SYSTEM,SYS_C003154,C,LOGMNRC_GTLO,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""LVLCNT"" IS NOT NULL"
SYSTEM,SYS_C003155,C,LOGMNRC_GTLO,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""BASEOBJ#"" IS NOT NULL"
SYSTEM,SYS_C003156,C,LOGMNRC_GTLO,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""BASEOBJV#"" IS NOT NULL"
SYSTEM,SYS_C003157,C,LOGMNRC_GTLO,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""LVL0TYPE#"" IS NOT NULL"
SYSTEM,SYS_C003158,C,LOGMNRC_GTLO,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""OWNERNAME"" IS NOT NULL"
SYSTEM,SYS_C003159,C,LOGMNRC_GTLO,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""LVL0NAME"" IS NOT NULL"
SYSTEM,SYS_C003160,C,LOGMNRC_GTLO,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,,,GENERATED NAME,"""INTCOLS"" IS NOT NULL"
